PPM,Date,Hour,Min,Sec,ms,# Pieces,Puzzle,Manufactorer,Attempt
5.7,4/16/2025,1,27,36,,500,Red White and Blue,Ravensburger,1
4.6,4/17/2025,1,48,59,,500,Color Burst,Unknown,2
4.1,5/2/2025,2,2,4,,500,Fish in Fushia,Unknown,1
6,5/3/2025,1,22,45,,500,Twilight Setinel,Unknown,1
5.5,5/3/2025,1,31,23,,500,Home Sweet Home,Unknown,1
4.8,5/5/2025,1,43,45,,500,Lighthouse at Sunset,Ravensburger,1
6.7,5/6/2025,1,14,51,,500,Lighthouse at Sunset,Ravensburger,2
6.1,5/8/2025,0,49,18,,300,Joe Cool,Unknown,1
6.4,5/9/2025,0,46,38,,300,Joe Cool,Unknown,2
8.5,5/10/2025,0,35,8,,300,Dreamers,Unknown,1
5.1,5/12/2025,0,58,15,,300,Tiny Bubbles,Unknown,1
5.9,5/13/2025,0,51,15,,300,Tiny Bubbles,Unknown,2
7,5/15/2025,0,42,57,,300,Orange Rapsody,Unknown,3
5.1,5/17/2025,1,38,40,,500,Jaguars & Butterflies,eeBoo,1
8.1,5/18/2025,0,36,58,,300,Joe Cool,Unknown,4
4.2,5/22/2025,2,0,7,,500,Edible Mushrooms ,Unknown,1
3.3,5/23/2025,2,30,8,,500,Poisonous Mushrooms,eeBoo,1
9.7,5/23/2025,0,31,4,,300,Joe Cool,Unknown,5
6.6,5/24/2025,0,45,42,,300,Tiny Bubbles,Unknown,3
6.2,5/24/2025,1,20,45,,500,Still Life with Flowers,Unknown,1
10.3,5/24/2025,0,29,0,,300,Joe Cool,Unknown,6
5.5,5/26/2025,1,30,11,,500,Cocoa Break,Unknown,1
5.1,5/29/25,0,58,41,,300,Starlit Night,Unknown,1
7,05/31/2025,0,42,38,,300,Future John Deere,Ravensburger,1
8.6,06/01/2025,0,58,3,,500,Artisinal Eggs,Galison,4
3.8,06/01/25,2,13,0,,500,Fish in Fushia,Unknown,2
6.8,06/02/25,1,14,1,,500,London Postcard,Ravensburger,5
7.3,06/02/2025,1,8,10,,500,Beside the Sea,Galison,2
7.1,6/2/25,1,10,7,,500,Buttons,Galison,2
10.1,6/4/2025,0,49,27,,500,London Postcard,Ravensburger,6
3.8,6/5/2025,2,13,6,,500,Poisonous Mushrooms,eeBoo,2
6.5,6/6/25,1,16,28,,500,Art Studio,Ravensburger,2
5.2,6/6/25,1,35,33,,500,Home Sweet Home,Unknown,2
7.3,6/7/25,0,41,9,,300,Joe Cool,Unknown,7
4.3,6/12/25,1,57,18,,500,Poisonous Mushrooms,eeBoo,3
5.6,6/17/25,1,28,35,,500,Rabbit Recital,Unknown,3
5,6/22/25,1,40,43,,500,Color Burst,Unknown,2
6.6,6/23/25,1,15,48,,500,Twilight Setinel,Unknown,2
7.2,7/1/25,1,9,0,,500,Enchanted Christmas,Ravensburger,4
4.2,7/2/25,1,59,25,,500,Poisonous Mushrooms,eeBoo,4
7.1,7/2/2025,1,10,0,,500,Red White and Blue,Ravensburger,2
5.7,7/5/25,1,28,17,,500,Fish in Fushia,Unknown,3
5.3,7/6/25,0,56,8,,300,Starlit Night,Unknown,2
4.1,7/14/2025,2,2,28,,500,Excaliber Forest,Unknown,1
4.7,7/15/25,1,47,20,,500,Flower Boutique,Ravensburger,3
4.3,7/24/25,1,9,27,,300,Lollipop,Unknown,1
6.1,8/1/25,0,49,17,,300,Great Smokey Mountain,Unknown,1
7.7,8/2/25,0,39,10,,300,Great Smokey Mountain,Unknown,2
9.6,8/2/25,0,31,21,,300,Great Smokey Mountain,Unknown,3
8.2,8/2/25,1,0,47,,500,Home Sweet Home,Unknown,3
9.6,8/3/25,0,31,6,,300,Great Smokey Mountain,Unknown,4
5.3,8/6/25,1,33,29,,500,Excaliber Forest,Unknown,3
5.6,8/7/25,0,53,40,,300,Bigfoot,Unknown,2
5.7,8/13/25,1,27,23,,500,Cocoa Break,Unknown,2
6.5,8/25/25,0,46,18,,300,Alice in Wonderland,Unknown,2
5.5,8/25/25,1,30,47,,500,Famers Market,Boardwalk,1
6.7,8/26/25,1,14,24,,500,Famers Market,Boardwalk,2
8.3,8/30/25,0,36,11,,300,Tinker Bell,Ravensburger,1
7.3,8/31/25,1,8,18,,500,Cuyahoga Valley,Boardwalk,3
6.5,9/1/25,1,17,7,,500,The Archeologists Desk,Ravensburger,1
5.2,9/4/25,1,35,47,,500,The Red Bridge,Ceaco,1
2.9,9/5/2025,2,51,16,,500,The Rivera,Ceaco,1
6,9/6/2025,1,23,0,,500,Wild Ones,Unknown,1
6.3,9/6/2025,1,18,57,,500,Moraine Lake,Ravensburger,1
4.7,9/6/2025,1,46,25,,500,Owls in Moonlight,Ravensburger,1
6.1,9/12/2025,1,22,34,,500,Sonic,Ravensburger,2
4.2,09/13/2025,1,58,11,,500,A Walk in the Rain,Ravensburger,1
7.3,09/14/2025,1,8,4,,500,Hometown,Unknown,1
4,09/14/2025,2,6,0,,500,Peacock Delight,Unknown,1
4.9,9/18/2025,1,41,45,,500,Himalayan Harmony,Ravensburger,1
5.3,10/7/2025,1,35,0,,500,Greenhouse Morning,Unknown,1
7,10/8/2025,1,11,5,,500,Joffre Lakes Park,Ravensburger,1
4.3,10/9/2025,1,56,7,,500,A Walk in the Rain,Ravensburger,2
3.9,10/10/2025,2,9,17,,500,Dolphins in the Coral Reef,Unknown,1
5.7,10/11/2025,1,28,16,,500,Quilted Critters,Ravensburger,1
5.1,10/13/2025,1,38,34,,500,Magical Christmas,Ravensburger,1
6.8,10/13/2025,1,13,9,,500,Ocean Treasures,Ravensburger,1
7.3,10/17/2025,1,8,26,,500,The Archeologists Desk,Ravensburger,2
5.8,10/25/2025,1,26,53,,500,Rabbit Recital,Ravensburger,4
7.7,10/25/2025,1,5,16,,500,Lighthouse at Sunset,Ravensburger,3
7.1,10/27/2025,1,10,43,,500,Here Comes Christmas,Ravensburger,3
5.4,11/2/2025,1,32,1,,500,Paris Rainbow,Ravensburger,1
5.5,11/2/2025,1,31,17,,500,Furry Friends,Ravensburger,1
7.4,11/6/2025,1,7,40,,500,Air Balloon Valley,Ravensburger,1
7.5,11/6/2025,1,6,48,,500,The Music Room,Ravensburger,1
4.5,11/7/2025,1,50,57,,500,Chameleon,Ravensburger,1
4.7,11/8/2025,1,45,56,,500,Washington Blossoms,Ravensburger,1
5.9,12/24/2025,1,24,54,,500,Dolphins in the Coral Reef,Unknown,2
5.3,12/24/2025,1,34,20,,500,Furry Friends,Ravensburger,2
7.7,12/24/2025,1,4,53,,500,Air Balloon Valley,Ravensburger,2
7.2,12/24/2025,1,9,33,,500,Enchanted Christmas,Ravensburger,5
8.8,12/24/2025,0,56,33,,500,Enchanted Christmas,Ravensburger,6
5.6,12/24/2025,1,29,16,,500,Magical Christmas,Ravensburger,2
7.8,12/24/2025,1,4,16,,500,Raisin' an Eyebrow,Le Puzz,1
5.4,12/25/2025,1,31,48,,500,Sonic,Ravensburger,3
4.4,12/26/2025,1,53,39,,500,The Rivera,Ceaco,2
3.8,12/29/2025,2,10,44,,500,Poisonous Mushrooms,eeBoo,5
5,12/30/2025,1,40,11,,500,Flower Boutique,Ravensburger,4
7.4,1/17/2026,1,7,56,,500,Art Studio,Ravensburger,3
6.3,1/18/2026,1,19,28,,500,Jaguars & Butterflies,eeBoo,2
3.1,2/3/2026,5,24,33,,1000,Dog School,Odd Pieces,1
7.7,2/3/2026,1,5,4,,500,Air Balloon Valley,Ravensburger,3
5.9,2/4/2026,1,25,26,,500,Puzzle Community,Ravensburger,2
3.3,2/5/2026,4,59,5,,1000,Cruise Vistas,Quokka,1
7.8,2/5/2026,1,3,49,,500,Red White and Blue,Ravensburger,3
10.1,2/6/2026,0,49,40,,500,London Postcard,Ravensburger,7
8.4,2/7/2026,0,59,49,,500,The Music Room,Ravensburger,2
6.6,2/7/2026,1,15,28,,500,Floral Reflections,Ravensburger,3
5.5,2/8/2026,1,31,0,,500,Magnificent Mandalas,Ravensburger,6
4.8,2/9/2026,3,27,44,,1000,Sacred Lake Tahoe,Ravensburger,1
5.1,2/9/2026,1,37,56,,500,Magnificent Mandalas,Ravensburger,7
8.2,2/12/2026,1,0,46,,500,Lighthouse at Sunset,Ravensburger,4
6,2/13/2026,1,23,48,,500,Loving Longhorns,Ravensburger,1
7.1,2/13/2026,1,10,1,,500,Rabbit Recital,Ravensburger,5
7.3,2/14/2026,1,8,38,,500,Circle of Colors: Insects,Ravensburger,3
5.1,2/15/2026,1,37,6,,500,A Walk in the Rain,Ravensburger,3
5.9,2/15/2026,1,24,46,,500,Zebras at Waterhole,Ravensburger,1
4.7,2/16/2026,1,46,58,,500,Humming Bird Garden,Buffalo,1
7.5,2/17/2026,1,6,29,,500,Puppy Pals,Ravensburger,1
7.3,2/28/2026,1,8,43,,500,La Gondola,Art & Fable,1
8,3/2/2026,1,2,46,,500,Art Studio,Ravensburger,4
7.3,3/2/2026,1,8,36,,500,Lake Como,Ravensburger,1
7.6,3/2/2026,1,5,30,,500,The Archeologists Desk,Ravensburger,3
5.5,3/3/2026,1,30,34,,500,Golden Solar System,Ravensburger,1
3.4,3/4/2026,2,24,57,,500,Butterfly,Ravensburger,1
8.1,3/4/2026,1,1,43,,500,Ocean Treasures,Ravensburger,3
5.5,3/5/2026,1,30,34,,500,Paris Rainbow,Ravensburger,2
6.9,3/5/2026,1,12,31,,500,Glorious Garden Center,Ravensburger,1
5.7,3/5/2026,1,28,12,,500,Himalayan Harmony,Ravensburger,2
